date,close_yen,event,source
2026-01-05,6023,"年初比較の起点","RegimeNote"
2026-01-13,6300,"2026年 年初来高値","Yahoo Finance"
2026-02-24,3518,"2026年 年初来安値","Yahoo Finance"
2026-04-24,5092,"2026年3月期本決算・中期経営計画等を引け後に発表","IRBANK / NRI"
2026-04-27,4409,"4月24日発表後の最初の取引日","IRBANK"
2026-04-30,4142,"本決算後の下落局面","IRBANK"
2026-07-30,5576,"2027年3月期1Q決算を引け後に発表","StockWeather / NRI"
2026-07-31,4686,"1Q決算翌日の急落","StockWeather"
2026-08-03,4688,"NRI AFT発表日","StockWeather / NRI"
2026-08-12,4982,"1Q急落後の回復スナップショット","StockWeather"
2026-08-31,5291,"8月末","Yahoo Finance"
2026-09-04,5244,"9月上旬","Yahoo Finance"
2026-09-09,4818,"9月調整局面","Yahoo Finance"
2026-09-11,4901,"9月14日前営業日","Yahoo Finance"
2026-09-14,5206,"レポート基準日前の最新完了取引日","Yahoo Finance"
2026-09-15,5170,"9月中旬終値","Minkabu historical data https://minkabu.jp/stock/4307/daily_bar"
2026-09-16,5097,"9月中旬終値","Minkabu historical data https://minkabu.jp/stock/4307/daily_bar"
2026-09-17,5155,"9月中旬終値","Minkabu historical data https://minkabu.jp/stock/4307/daily_bar"
2026-09-18,5156,"9月中旬終値","Minkabu historical data https://minkabu.jp/stock/4307/daily_bar"
2026-09-24,5034,"2026-09-25時点で確認できた最新終値","Minkabu historical data https://minkabu.jp/stock/4307/daily_bar"
